Sample 1,,
Time (min),Abs,
0.004166666884,1.280117631,
0.01250000112,1.281144381,
0.02083333582,1.281369567,
0.02916666865,1.278913975,
0.03750000149,1.278623939,
0.04583333805,1.279158592,
0.05416667089,1.279375911,
0.06250000745,1.278074622,
0.07083333284,1.277435303,
0.07916667312,1.277342796,
0.08750000596,1.278142095,
0.0958333388,1.278428555,
0.1041666716,1.278181434,
0.1125000045,1.278427124,
0.1208333448,1.278256774,
0.1291666776,1.278740287,
0.137500003,1.2800138,
0.1458333284,1.280469894,
0.1541666836,1.279357433,
0.1625000089,1.27876544,
0.1708333492,1.27834177,
0.1791666895,1.278796196,
0.1875000149,1.278350472,
0.1958333552,1.278514504,
0.2041666806,1.277790546,
0.2125000209,1.279039383,
0.2208333462,1.280348301,
0.2291666865,1.28101027,
0.2375000119,1.281433225,
0.2458333522,1.281874418,
0.2541666925,1.279820442,
0.2625000179,1.279626489,
0.2708333433,1.280496716,
0.2791666687,1.279564857,
0.287499994,1.27900815,
0.2958333194,1.279403329,
0.3041666746,1.279599547,
0.3125000298,1.279456735,
0.3208333552,1.278742075,
0.3291667104,1.280719876,
0.3375000358,1.280577302,
0.3458333611,1.279382229,
0.3541666865,1.279841542,
0.3625000417,1.281311631,
0.3708333671,1.280181766,
0.3791666925,1.280334353,
0.3875000179,1.27946651,
0.3958333731,1.279218674,
0.4041666985,1.278547525,
0.4125000238,1.27940762,
0.420833379,1.279083371,
0.4291667044,1.279574275,
0.4375000298,1.279676557,
0.4458333552,1.279200435,
0.4541667104,1.27908349,
0.4625000358,1.279259205,
0.4708333611,1.279506207,
0.4791666865,1.278982878,
0.4875000417,1.281087756,
0.4958333671,1.279689908,
0.5041667223,1.280121565,
0.5125000477,1.281679749,
0.5208333731,1.282335758,
0.5291666985,1.282459497,
0.5375000238,1.282554746,
0.5458333492,1.281565428,
0.5541666746,1.280709982,
0.5625,1.279929757,
0.5708333254,1.279021978,
0.5791666508,1.279819012,
0.5874999762,1.279822707,
0.5958333611,1.27773881,
0.6041666865,1.27861917,
0.6125000715,1.278779626,
0.6208333969,1.278719306,
0.6291667223,1.279314518,
0.6375000477,1.279574275,
0.6458333731,1.281128883,
0.6541667581,1.28016901,
0.6625000834,1.279324293,
0.6708334088,1.279318213,
